instrument,datetime,$open,$close,$high,$low,$volume,$factor,计算除权价,计算前复权价,计算后复权价,前复权价_方法1,前复权价_方法2
SH600519,2024-06-04,217.47935,219.16298,219.53418,216.9557,157209.36,0.13256894,1653.2001,1687.3677,1653.1993,1687.3677,1653.2008
SH600519,2024-06-05,219.00386,217.94331,219.88942,217.81471,143740.86,0.13256893,1644.0,1677.9777,1643.9994,1677.9777,1644.0006
SH600519,2024-06-06,217.89827,217.38788,219.00258,216.87086,193182.88,0.13256894,1639.81,1673.7009,1639.8093,1673.7009,1639.8108
SH600519,2024-06-07,218.22568,214.65294,218.2323,214.6304,252883.94,0.13256893,1619.1799,1652.6447,1619.1793,1652.6447,1619.1805
SH600519,2024-06-11,212.5067,208.00067,212.77316,207.73553,529888.5,0.13256894,1569.0,1601.4274,1568.9993,1601.4274,1569.0007
SH600519,2024-06-12,208.13329,208.356,210.78467,208.13329,250213.16,0.13256897,1571.68,1604.1625,1571.6791,1604.1625,1571.6812
SH600519,2024-06-13,209.03064,206.14594,209.04655,205.89937,272959.75,0.13256888,1555.01,1587.149,1555.01,1587.149,1555.01
SH600519,2024-06-14,206.14459,206.14459,207.33241,201.56566,448930.12,0.13256887,1555.0,1587.1389,1555.0002,1587.1389,1554.9998
SH600519,2024-06-17,203.13403,204.35498,205.31876,200.31296,364475.78,0.13256891,1541.5,1573.3594,1541.4996,1573.3594,1541.5004
SH600519,2024-06-18,202.94838,201.70357,206.08363,201.06458,311221.22,0.13256888,1521.5001,1552.9465,1521.5001,1552.9465,1521.5001
SH600519,2024-06-19,202.70135,203.10866,203.5146,200.5512,304928.2,0.13531557,1500.9999,1500.925,1470.532,1500.925,1532.099
SH600519,2024-06-20,202.97331,202.98685,205.13971,202.70268,182615.25,0.13531554,1500.1001,1500.0256,1469.6508,1500.0256,1531.1802
SH600519,2024-06-21,203.04108,199.04927,203.6473,198.94373,320140.22,0.13531561,1471.0,1470.9261,1441.1406,1470.9261,1501.478
SH600519,2024-06-24,192.5541,199.80023,201.48357,191.3376,471785.47,0.1353156,1476.5499,1476.476,1446.578,1476.476,1507.1428
SH600519,2024-06-25,199.86107,201.16687,203.37791,199.86107,311109.47,0.13531555,1486.65,1486.576,1456.4736,1486.576,1517.4517
SH600519,2024-06-26,200.26715,201.51477,203.11826,199.96945,218524.4,0.13531564,1489.2201,1489.145,1458.9906,1489.145,1520.076
SH600519,2024-06-27,201.8807,201.67639,202.14728,198.6333,242569.47,0.13530879,1490.49,1490.4904,1460.3086,1490.4904,1521.2952
SH600519,2024-06-28,200.25711,198.55087,202.21774,198.09218,285140.38,0.13530886,1467.39,1467.3895,1437.6755,1467.3895,1497.7186
SH600519,2024-07-01,198.75237,194.89607,199.30849,193.22095,237688.78,0.13530879,1440.38,1440.3804,1411.2133,1440.3804,1470.1495
SH600519,2024-07-02,193.89758,201.70491,202.69266,193.89758,383219.4,0.13530886,1490.7,1490.6995,1460.5135,1490.6995,1521.5104
SH600519,2024-07-03,202.82791,202.96323,204.72359,201.34222,233342.23,0.13530882,1500.0,1500.0,1469.6257,1500.0,1531.0021
SH600519,2024-07-04,203.63979,201.03374,204.58696,200.40997,180178.4,0.13530883,1485.74,1485.7399,1455.6543,1485.7399,1516.4475
SH600519,2024-07-05,200.1217,196.60368,202.04039,196.19775,286968.62,0.13530879,1453.0001,1453.0005,1423.5779,1453.0005,1483.0304
SH600519,2024-07-08,195.25063,192.13852,197.24913,192.02216,292124.72,0.13530882,1420.0,1420.0,1391.2457,1420.0,1449.3486
SH600519,2024-07-09,192.13858,194.5782,196.85951,190.79903,248473.83,0.13530886,1438.03,1438.0295,1408.9102,1438.0295,1467.7518
SH600519,2024-07-10,194.74326,194.51865,198.34653,194.1682,175622.08,0.13530885,1437.59,1437.5896,1408.4791,1437.5896,1467.3025
SH600519,2024-07-11,196.1937,197.83365,198.76863,194.8731,214473.4,0.1353088,1462.09,1462.0901,1432.4835,1462.0901,1492.3083
SH600519,2024-07-12,199.3112,200.09735,201.12299,198.28827,172836.81,0.13530879,1478.8201,1478.8204,1448.875,1478.8204,1509.384
